treat   id  lfdn    task    choibio csn choice0 clar0   fish0   bio0    coast0  lit0    cost0   choice1 clar1   fish1   bio1    coast1  lit1    cost1   choice2 clar2   fish2   bio2    coast2  lit2    cost2   choice3 clar3   fish3   bio3    coast3  lit3    cost3   choice4 clar4   fish4   bio4    coast4  lit4    cost4   choice5 clar5   fish5   bio5    coast5  lit5    cost5   cset    choi    match   externallfdn   duration    block   pos1    pos2    pos3    pos4    pos5    pos6    pos7    pos8    pos9    pos10   pos11   pos12   p0003  v1 v2 v3 v4 v5 v6 v7 v8 v9 v11    v12    v13    v14    v15    v16    v17    v18    v20    v341   v342   v343   v344   v345   v346   v347   v348   v350   v351   v352   v353   v354   v355   v356   v357   v358   v359   v360   v361   v362   v363   v364   v365   v366   v367   v368   v369   v370   v371   v372   v373   v374   v375   v377   v380   pos13   pos14   pos15   pos16   same1   same2   same3   same4   same5   same6   same7   same8   sameall    blockNG
1   14  24  13  1   218 1   0   0   0   0   0   0   0   0   0   0   1   3   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   12  1   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  16  2   224 0   0   0   0   0   0   0   1   1   0   3   1   3   300 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   18  2   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   23  33  1   2   354 0   0   0   0   0   0   0   1   2   0   1   0   2   10  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   5   2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  2   2   356 0   0   0   0   0   0   0   1   1   1   2   0   2   25  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   13  2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  3   2   358 0   0   0   0   0   0   0   1   3   1   3   1   0   300 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   14  2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  4   2   360 0   0   0   0   0   0   0   1   1   1   2   1   1   50  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   21  2   0   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  5   2   362 0   0   0   0   0   0   0   1   3   1   0   0   0   160 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   27  2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  6   2   364 0   0   0   0   0   0   0   1   3   0   0   1   0   160 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   28  2   0   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  7   2   365 0   0   0   0   0   0   0   1   0   1   0   0   3   160 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   29  2   0   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  8   2   368 0   0   0   0   0   0   0   1   2   0   1   1   1   10  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   32  2   0   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  9   2   353 0   0   0   0   0   0   0   1   2   0   1   0   2   10  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   5   2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  10  2   355 0   0   0   0   0   0   0   1   1   1   2   0   2   25  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   13  2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  11  2   357 0   0   0   0   0   0   0   1   3   1   3   1   0   300 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   14  2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   23  33  13  2   361 0   0   0   0   0   0   0   1   3   1   0   0   0   160 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   27  2   1   0   1680    3   0   0   0   0   0   0   0   0   0   0   0   0   424610    3   16  4   0   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   10  10  1   3   2   4   6   5   5   5   5   5   5   1   3   5   3   3   3   3   3   3   3   3   5   5   1   1   1   1952    2   1   0 2   70771   2   0   0   0   0   1   1   1   0   1   0   0   0   4   3
1   35  45  1   2   546 0   0   0   0   0   0   0   1   1   1   1   1   2   50  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   2   0   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  2   2   547 0   0   0   0   0   0   0   1   2   1   2   1   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   0   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  3   2   550 0   0   0   0   0   0   0   1   1   1   3   0   1   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  4   2   552 0   0   0   0   0   0   0   1   0   0   3   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  5   2   554 0   0   0   0   0   0   0   1   0   0   0   1   3   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   12  2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  6   2   555 0   0   0   0   0   0   0   1   2   1   2   0   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   15  2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  7   2   558 0   0   0   0   0   0   0   1   3   0   0   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   16  2   0   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  8   2   559 0   0   0   0   0   0   0   1   1   0   3   1   3   300 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   18  2   0   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  11  2   549 0   0   0   0   0   0   0   1   1   1   3   0   1   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  12  2   551 0   0   0   0   0   0   0   1   0   0   3   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  13  2   553 0   0   0   0   0   0   0   1   0   0   0   1   3   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   12  2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   35  45  14  2   556 0   0   0   0   0   0   0   1   2   1   2   0   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   15  2   1   0   -1  4   0   0   0   0   0   0   0   0   0   0   0   0   424610    2   3   2   1   0   0   1   0   0   3   -66 0   0   0   0   0   0   2   6   5   5   3   2   4   1   6   4   3   3   2   3   3   2   3   3   3   3   3   2   3   3   3   3   3   3   3   2   1988    2   4   0 3   4318    6   0   0   0   0   0   0   1   1   1   1   0   0   4   4
1   43  54  1   1   673 1   0   0   0   0   0   0   0   1   1   1   1   2   50  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  2   1   676 1   0   0   0   0   0   0   0   2   1   2   1   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   1   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  3   2   677 0   0   0   0   0   0   0   1   1   1   3   0   1   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   2   0   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  4   1   680 1   0   0   0   0   0   0   0   0   0   3   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   1   0   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  5   1   682 1   0   0   0   0   0   0   0   0   0   0   1   3   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   12  1   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  6   2   683 0   0   0   0   0   0   0   1   2   1   2   0   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   15  2   0   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  7   1   686 1   0   0   0   0   0   0   0   3   0   0   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   16  1   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  8   2   688 0   0   0   0   0   0   0   1   1   0   3   1   3   300 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   18  2   0   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  9   2   674 0   0   0   0   0   0   0   1   1   1   1   1   2   50  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   2   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  10  2   675 0   0   0   0   0   0   0   1   2   1   2   1   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
1   43  54  13  2   681 0   0   0   0   0   0   0   1   0   0   0   1   3   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   12  2   1   0   303 4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   5   2   1   0   0   1   0   0   2   -66 0   0   0   0   0   0   1   6   8   2   1   4   3   5   6   4   4   4   5   5   4   3   4   3   3   4   4   5   5   5   4   4   5   5   5   4   1977    2   2   0 4   4277    6   0   0   0   0   0   0   0   0   0   0   0   0   0   4
